Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Kabupaten/Kota,TKA L,TKA P,TKB L,TKB P,T1 L,T1 P,T2 L,T2 P,T3 L,T3 P,T4 L,T4 P,T5 L,T5 P,T6 L,T6 P,T7 L,T7 P,T8 L,T8 P,T9 L,T9 P,T10 L,T10 P,T11 L,T11 P,T12 L,T12 P,T13 L,T13 P,PAKET A L,PAKET A P,PAKET B L,PAKET B P,PAKET C L,PAKET C P
SEKOLAH LUAR BIASA (SLB) SWASTA OSAKALI ASAHAN,69959064,SLB,Swasta,Kab. Asahan,1,0,0,0,2,0,1,0,4,6,5,3,1,0,0,2,4,2,8,4,5,5,6,1,15,6,1,1,0,0,0,0,0,0,0,0
SLB ABC MELATI AISYIAH DELISERDANG,10262359,SLB,Swasta,Kab. Deli Serdang,0,0,0,0,14,6,26,5,11,9,12,5,6,2,12,3,5,11,6,5,5,3,7,3,2,3,1,0,0,0,0,0,0,0,0,0
SLB ABC TAMAN PENDIDIKAN ISLAM,10261798,SLB,Swasta,Kota Medan,0,0,0,0,18,6,14,10,21,20,14,6,12,6,9,4,13,21,6,6,6,5,6,4,3,3,4,4,0,0,0,0,0,0,0,0
SLB B KARYA MURNI,10259452,SLB,Swasta,Kota Medan,0,0,0,0,33,17,17,11,6,3,5,11,5,5,4,5,8,4,6,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB C ABDI KASIH,69787519,SLB,Swasta,Kota Medan,0,0,0,0,1,1,7,0,5,2,5,1,5,0,4,1,4,2,2,1,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
SLB C Karya Tulus,10262384,SLB,Swasta,Kab. Deli Serdang,0,0,0,0,6,1,2,1,8,1,5,2,2,1,1,2,6,5,7,10,8,7,5,10,6,5,3,4,0,0,0,0,0,0,0,0
SLB C MUZDALIFAH,10260281,SLB,Swasta,Kota Medan,0,0,0,0,4,3,5,2,4,4,6,3,7,6,2,1,5,2,6,4,5,7,5,3,4,1,2,1,0,0,0,0,0,0,0,0
SLB C YPAC MEDAN,10259464,SLB,Swasta,Kota Medan,0,0,0,0,9,3,5,3,6,1,9,1,9,0,1,3,4,2,4,2,3,2,6,1,4,3,3,4,0,0,0,0,0,0,0,0
SLB D YPAC MEDAN,10259467,SLB,Swasta,Kota Medan,0,0,0,0,0,1,1,0,2,1,5,6,0,0,0,0,0,1,0,2,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0
SLB ISLAM TERPADU SAHABAT AL- QUR-AN,69974237,SLB,Swasta,Kota Binjai,0,0,0,0,4,1,1,0,1,3,4,0,2,0,0,0,2,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
SLB IT Anak Cerdas Mulia,70053423,SLB,Swasta,Kota Binjai,0,0,0,0,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Kasih Ibu Pematang Kerasaan,70050306,SLB,Swasta,Kab. Simalungun,0,0,0,0,4,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Kumala Indah,69974639,SLB,Swasta,Kota Padang Sidempuan,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,3,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB MARKUS MEDAN,10259460,SLB,Swasta,Kota Medan,0,0,0,0,6,3,6,2,9,4,7,2,12,4,0,0,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB MUTIARA HATI,69932257,SLB,Swasta,Kab. Deli Serdang,4,2,0,0,17,6,10,8,3,3,4,4,6,5,3,1,5,2,3,5,5,4,8,2,5,4,3,0,0,0,0,0,0,0,0,0
SLB Negeri 1 Binjai,10211413,SLB,Negeri,Kota Binjai,0,0,0,0,14,5,12,7,17,15,20,7,14,8,6,3,3,5,3,2,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SLB NEGERI AEK KANOPAN,69957452,SLB,Negeri,Kab. Labuhanbatu Utara,0,0,0,0,12,4,5,5,5,4,2,1,3,3,3,4,6,5,5,6,4,3,12,7,1,3,1,2,0,0,0,0,0,0,0,0
SLB NEGERI ANGKOLA TIMUR,69762642,SLB,Negeri,Kab. Tapanuli Selatan,0,0,0,0,4,0,1,2,3,4,3,3,2,1,2,3,7,3,4,1,6,1,4,3,5,6,3,2,0,0,0,0,0,0,0,0
SLB Negeri Asahan,10204785,SLB,Negeri,Kab. Asahan,0,0,0,0,11,1,6,10,8,1,6,2,3,1,8,1,11,5,3,4,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SLB NEGERI AUTIS SUMATERA UTARA,69983843,SLB,Negeri,Kab. Deli Serdang,0,0,0,0,4,0,6,5,7,6,18,4,10,6,14,5,11,3,7,2,9,0,7,0,5,1,4,0,0,0,0,0,0,0,0,0
SLB NEGERI BATUBARA,10260898,SLB,Negeri,Kab. Batu Bara,0,0,0,0,6,5,9,6,9,8,3,8,11,6,6,8,15,7,10,3,7,5,11,10,9,7,4,5,0,0,0,0,0,0,0,0
SLB Negeri Berastagi,10202097,SLB,Negeri,Kab. Karo,0,0,0,0,5,2,1,3,14,2,3,1,6,3,1,1,3,3,1,0,2,2,0,3,3,1,1,0,0,0,0,0,0,0,0,0
SLB NEGERI BINJAI,10260394,SLB,Negeri,Kota Binjai,0,0,0,0,13,1,6,6,8,11,12,6,11,5,5,5,11,5,13,3,4,6,15,4,8,9,19,11,0,0,0,0,0,0,0,0
SLB Negeri Deliserdang,10215081,SLB,Negeri,Kab. Deli Serdang,0,0,0,0,7,5,2,11,7,3,6,2,14,3,2,3,4,3,10,6,11,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0
SLB NEGERI DOLOKSANGGUL,69979562,SLB,Negeri,Kab. Humbang Hasundutan,0,0,0,0,2,0,0,3,2,1,5,2,2,2,1,1,6,2,4,6,3,5,8,1,12,4,2,3,0,0,0,0,0,0,0,0
SLB NEGERI GUNUNGSITOLI,10258957,SLB,Negeri,Kota Gunungsitoli,0,0,0,0,4,5,1,1,2,8,5,3,3,5,5,5,3,2,3,0,2,4,3,1,6,6,0,0,0,0,0,0,0,0,0,0
SLB NEGERI MANDAILING NATAL,10269080,SLB,Negeri,Kab. Mandailing Natal,0,0,0,0,6,2,14,1,8,5,6,2,5,3,0,3,7,3,5,1,5,2,6,1,3,3,4,2,0,0,0,0,0,0,0,0
SLB NEGERI NIAS BARAT,69976677,SLB,Negeri,Kab. Nias Barat,0,0,0,0,0,2,1,0,2,1,0,3,0,1,4,0,1,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
SLB NEGERI PADANG LAWAS UTARA,69786979,SLB,Negeri,Kab. Padang Lawas utara,0,0,0,0,3,3,8,1,4,2,5,3,10,5,2,2,1,1,3,6,1,0,1,1,2,3,2,2,0,0,0,0,0,0,0,0
SLB Negeri Pematangsiantar,10260535,SLB,Negeri,Kota Pematangsiantar,0,0,0,0,28,7,8,12,8,6,18,7,3,3,7,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Negeri Pinangsori,10260549,SLB,Negeri,Kab. Tapanuli Tengah,0,0,0,0,2,0,4,5,1,2,1,1,1,0,4,1,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Negeri Rantauprapat,10204862,SLB,Negeri,Kab. Labuhanbatu,0,0,0,0,16,5,15,8,3,2,5,3,3,2,4,2,3,3,11,2,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
SLB NEGERI SALAK,10261795,SLB,Negeri,Kab. Pakpak Bharat,0,0,0,0,0,0,1,1,3,1,2,1,1,0,0,1,0,1,4,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0
SLB NEGERI SERDANG BEDAGAI,60728467,SLB,Negeri,Kab. Serdang Bedagai,0,0,0,0,6,4,7,2,3,5,5,3,5,3,4,2,12,10,6,4,3,3,4,4,2,4,7,4,0,0,0,0,0,0,0,0
SLB Negeri Sibolga,10212096,SLB,Negeri,Kota Sibolga,0,0,0,0,12,5,5,5,10,2,3,4,2,2,0,0,2,1,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Negeri Sidikalang,10203614,SLB,Negeri,Kab. Dairi,0,0,0,0,6,1,5,1,2,1,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Negeri Simalungun,10202319,SLB,Negeri,Kab. Simalungun,0,0,0,0,5,4,4,4,3,1,0,3,2,1,5,1,2,5,2,1,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0
SLB Negeri Stabat,10201464,SLB,Negeri,Kab. Langkat,0,0,0,0,12,6,8,12,17,15,12,11,6,9,8,5,9,8,11,9,18,10,0,0,2,2,0,2,0,0,0,0,0,0,0,0
SLB Negeri Tanjung Balai,10211993,SLB,Negeri,Kota Tanjung Balai,0,0,0,0,9,10,7,3,7,4,10,7,4,3,6,3,12,4,1,3,6,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SLB Negeri Tebing Tinggi,10211532,SLB,Negeri,Kota Tebing Tinggi,0,0,0,0,10,3,7,6,6,0,4,6,13,3,3,0,8,7,12,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Negeri Toba,10214741,SLB,Negeri,Kab. Toba,0,0,0,0,5,2,8,2,10,5,3,0,5,0,1,2,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SLB PK HEPHATA,10214758,SLB,Swasta,Kab. Toba,0,0,0,0,0,0,0,2,2,4,0,4,1,0,1,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SLB PONDOK ANUGERAH,69996168,SLB,Swasta,Kab. Deli Serdang,0,2,2,0,6,3,1,3,10,2,9,5,2,0,2,4,7,3,6,4,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
SLB SANTA LUSIA,10212423,SLB,Swasta,Kota Pematangsiantar,0,0,0,0,3,0,6,4,5,1,7,2,1,0,1,2,1,3,1,1,3,5,1,1,0,0,2,2,0,0,0,0,0,0,0,0
SLB Swasta Cahaya Mandiri,70046572,SLB,Swasta,Kab. Mandailing Natal,0,0,0,0,1,1,0,0,7,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB SWASTA DAARUS SALAM ASAHAN,69984997,SLB,Swasta,Kab. Asahan,0,0,0,0,4,1,10,2,1,1,5,8,5,0,5,6,1,2,3,4,0,0,1,1,3,6,3,6,0,0,0,0,0,0,0,0
SLB Swasta Kabeta Bina Mandiri,70052365,SLB,Swasta,Kab. Karo,0,0,0,0,3,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB SWASTA KASIH IBU,69896658,SLB,Swasta,Kota Tebing Tinggi,0,0,0,0,1,0,3,1,1,4,4,0,1,0,1,2,2,0,3,2,1,2,2,0,5,2,3,1,0,0,0,0,0,0,0,0
SLB Swasta Kasih Ibu,70009590,SLB,Swasta,Kab. Serdang Bedagai,0,0,0,0,3,0,0,1,3,1,1,0,4,3,1,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
SLB Swasta Mendengar Bicara,70040831,SLB,Swasta,Kota Medan,0,0,0,0,2,3,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB Swasta Sasmi Gunungsitoli,70028721,SLB,Swasta,Kota Gunungsitoli,0,0,0,0,3,1,6,4,7,3,4,4,4,1,5,1,5,1,5,1,11,2,3,1,0,5,1,2,0,0,0,0,0,0,0,0
SLB SWASTA SYAFIQ,69990053,SLB,Swasta,Kab. Deli Serdang,1,1,0,0,5,4,3,4,5,3,4,0,2,0,4,0,4,5,8,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
SLB SWASTA YAPSI GUNUNGSITOLI,69960580,SLB,Swasta,Kota Gunungsitoli,0,0,0,0,4,4,2,4,4,1,1,1,2,1,2,0,4,0,1,0,3,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0
SLB SWASTA YAPSI TEBING TINGGI,69886466,SLB,Swasta,Kota Tebing Tinggi,0,0,0,0,9,2,9,7,8,1,8,4,4,8,3,7,3,2,3,2,4,5,3,4,3,1,3,1,0,0,0,0,0,0,0,0
SLB SWASTA YKPC GBKP ALPHA OMEGA KABANJAHE,10220440,SLB,Swasta,Kab. Karo,0,0,0,0,5,2,5,10,9,5,11,9,7,2,2,3,3,2,1,5,2,1,2,1,4,3,6,1,0,0,0,0,0,0,0,0
SLB TALENTA,69901032,SLB,Swasta,Kab. Simalungun,0,0,0,0,6,2,1,2,3,2,2,1,3,1,2,3,6,2,6,4,4,2,3,5,1,1,5,2,0,0,0,0,0,0,0,0
SLB TUNAGRAHITA SANTA LUSIA,10259518,SLB,Swasta,Kota Medan,0,0,0,0,10,2,4,2,7,0,4,4,1,2,2,2,3,4,4,4,3,3,2,5,1,1,2,0,0,0,0,0,0,0,0,0
SLB TUNAS HARAPAN MANDIRI,69932260,SLB,Swasta,Kab. Deli Serdang,0,0,4,0,6,1,8,2,9,6,4,6,9,8,9,2,11,1,10,10,3,5,4,3,2,2,4,0,0,0,0,0,0,0,0,0
SLB-A KARYA MURNI,10259865,SLB,Swasta,Kota Medan,0,0,0,0,4,3,2,2,3,3,2,0,2,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB-A YAPENTRA,10261252,SLB,Swasta,Kab. Deli Serdang,0,0,0,0,2,1,1,1,2,1,0,2,3,1,5,2,2,2,3,1,1,0,3,3,2,4,4,3,0,0,0,0,0,0,0,0
SLB-E AL AZHAR MEDAN,10259483,SLB,Swasta,Kota Medan,0,0,0,0,7,2,4,3,4,2,4,0,3,3,1,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SLB-E NEGERI PEMBINA TINGKAT PROVINSI,10259470,SLB,Negeri,Kota Medan,0,0,0,0,17,7,32,18,26,12,27,15,20,11,21,9,37,29,15,23,21,12,25,17,23,17,16,10,0,0,0,0,0,0,0,0
SLBN SIBORONGBORONG,10259180,SLB,Negeri,Kab. Tapanuli Utara,0,0,0,0,5,3,3,0,4,2,5,3,5,1,2,2,3,3,6,0,5,3,0,3,3,1,3,2,0,0,0,0,0,0,0,0
UPT. SLB NEGERI PADANGSIDIMPUAN,69768148,SLB,Negeri,Kota Padang Sidempuan,0,0,0,0,9,2,4,3,7,6,9,5,7,2,0,0,13,4,9,7,13,3,6,1,4,6,4,1,0,0,0,0,0,0,0,0
